,Date,Time,Operator,Flight_Number,Route,Location_or_Route,Aircraft_Type,Aircraft_Registration,Construction_Number_or_Line_Number,Total_Aboard,Passengers_Aboard,Crew_Aboard,Total_Fatalities,Passenger_Fatalities,Crew_Fatalities,Ground_Fatalities,Accident_Summary,Aboard_or_Fatalities_Discrepancy,Control_Char_and_Column
58,1921-05-17,,US Aerial Mail Service,,,"Rock Springs, Wyoming","De Havilland DH-4",176,,1,0,1,1,0,1,0,Crashed while attempting to land.,None,Aircraft_Type: 'De Havilland DH-4\rDe Havilland DH-4'
108,1926-03-08,,Deutche Lufthansa,,,"Staaken, Germany",Junkers F-13,"D-290",665,1,0,1,1,0,1,0,While in a training filight the aircraft stalled and crashed while attempting to land.,None,Aircraft_Registration: 'D-290\rD-290'
123,1927-04-15,,Varney Air Lines,,,"King Hill, Idaho","Swallow",,A28,1,0,1,1,0,1,0,Crashed after an unsuccessful attempt at fly into strong headwinds. The engine quit and the plane nosedived into the ground.,None,Aircraft_Type: 'Swallow\rSwallow'
128,1927-08-22,08:30:00,KLM Royal Dutch Airlines,,Croydon - Schiphol,"Sevenoaks, England",Fokker F-VIII,"H-NADU",4993,11,9,2,1,0,1,0,"A broken wire led to the partial loss of the the rudder and a crash landing which resulted in the aircraft striking a tree, killing the flight engineer.",None,Aircraft_Registration: 'H-NADU\rH-NADU'
129,1927-09-03,,Colonial Air Transport,,,"Willington, Connecticut",Fokker Universal,"NC52",405,1,0,1,1,0,1,0,The postal plane crashed for unknown reasons.,None,Aircraft_Registration: 'NC52  \t\rNC52'
137,1927-11-29,,National Air Transport,,,"Corunna, Indiana",Douglas M-4,"NC62 NC1062",PO641,1,0,1,1,0,1,0,The postal plane crashed at night in poor weather.,None,Aircraft_Registration: 'NC62  \t\rNC1062'
147,1928-04-17,,Boeing Air Transport,,,"Federal, Wyoming",Boeing 40,"NC282",893,2,1,1,1,1,0,0,Spatial disorientation after entering a snowstorm.,None,Aircraft_Registration: 'NC282\rNC282'
149,1928-05-07,,Aeropostale,,,"Florianopolis, Brazil",Latecoere 26,F-AIMQ,671,5,3,2,1,1,0,0,An in flight fire caused he pilot to lose control and crash in a field after which a fire erupted.,None,"Location_or_Route: 'Florianopolis, Brazil\rFlorianopolis, Brazil\rFlorianopolis, Brazil'"
162,1928-10-04,,Aeropostale,,Casablanca - Alicante - Barcelona - Perpignan - Toulouse,"Gerona, Spain",Breguet 14,"F-AEEJ",159,3,2,1,3,2,1,0,"Encountered fog and crashed into a mountain slope near the monastery of Sant Pere de Rodes, south of Llancà,",None,Aircraft_Registration: 'F-AEEJ\rF-AEEJ'
179,1929-01-31,,Aeropostale,,Agadir - Casablanca,Off Morocco,Latecoere 26,"F-AIMU",674,2,0,2,2,0,2,0,"While cruising along the coast, the mail plane crashed into the Atlantic Ocean for unknown reasons.",None,Aircraft_Registration: 'F-AIMU\rF-AIMU'
283,1932-03-29,,Air Orient,,Damascus - Baghdad - Karachi,"Rutbah Wells, Iraq",Farman F-190,"F-AJDP",7120,3,1,2,3,1,2,0,Crashed into the ground during a sand storm.,None,Aircraft_Registration: 'F-AJDP\rF-AJDP'
427,1936-08-02,06:00:00,Air France,,Paris - Toulouse - Dakar - Natal - Rio de Janeiro,"Mazamet, France",Wibault 280,"F-ANBL",15,3,0,3,3,0,3,0,The mail plane crashed into mountains 50 miles from Toulouse in fog.,None,Aircraft_Registration: 'F-ANBL\rF-ANBL'
482,1937-11-16,15:30:00,Sabena,,Cologne - Brussels - London,"Ostende, Belgium",Junkers JU-52/3m,OO-AUB,5827,11,8,3,11,8,3,0,"The aircraft was flying from Cologne to London and should have made a scheduled stop at Brussel's Haren airport.  However, Brussels was shrouded in fog and the pilot was advised to fly on to Ostend. Weatherconditions were poor in Ostend as well and the aircraft hit a factory chimney while flying on approach to Ostend Stene airport.  All on board were killed including the Grand Duke and Duchess of Hesse who were traveling to London for a minor royal wedding. An airport employee was blamed for not guiding the pilot down in conditions of poor visibility.",None,"Accident_Summary: ""The aircraft was flying from Cologne to London and should have made a scheduled stop at Brussel's Haren airport.  However, Brussels was shrouded in fog and the pilot was advised to fly on to Ostend. Weather\rconditions were poor in Ostend as well and the aircraft hit a factory chimney while flying on approach to Ostend Stene airport.  All on board were killed including the Grand Duke and Duchess of Hesse who were traveling to London for a minor royal wedding. An airport employee was blamed for not guiding the pilot down in conditions of poor visibility."""
